Benchmark,Dataset Name,Date,Prompt/Sample Count,Dataset URL,Task/Purpose,Details
JailBreakV,RedTeam-2K Dataset,2024,2000,https://huggingface.co/datasets/JailbreakV-28K/JailBreakV-28k,Core Dataset: Harmful queries,"2,000 harmful queries, 16 safety policies, 8 distinct sources"
JailBreakV,SafeBench,2023,N/A,https://huggingface.co/datasets/Zonghao2025/safebench,"Component Dataset: Sociodemographic evaluation, hate speech detection",Safety evaluation baseline
JailBreakV,BeaverTails,2023,N/A,https://huggingface.co/datasets/PKU-Alignment/BeaverTails,"Component Dataset: Harmful content detection (hate speech, crime, misinformation)",Training and evaluation of safety systems
JailBreakV,AdvBench,2023,520,https://huggingface.co/datasets/walledai/AdvBench,"Component Dataset: Adversarial prompts for jailbreaking, crime-related content",Baseline for jailbreaking evaluation
AISafetyLab,AISafetyLab Datasets,2024,N/A,https://huggingface.co/datasets/thu-coai/AISafetyLab_Datasets,"Dataset Collection: Comprehensive collection for attack, defense, and evaluation","40.3 MB of safety-related datasets covering misinformation, crime, bias"
SafetyBench,SafetyBench Dataset,2023,11000,https://huggingface.co/datasets/thu-coai/SafetyBench,Core Dataset: Evaluating the safety of Large Language Models,"11,435 multiple-choice questions, 7 distinct safety categories, Chinese and English"
SafetyBench,COLDataset,2023,N/A,https://github.com/thu-coai/COLDataset,"Component Dataset: Sociodemographic evaluation, hate speech, bias",Core evaluation framework
SafetyBench,CDial-Bias,2021,12000,https://huggingface.co/datasets/para-zhou/CDial-Bias,Component Dataset: Conversational bias evaluation,Sociodemographic bias assessment
SafetyBench,SafeText,2023,2000,https://huggingface.co/datasets/walledai/SafeText,"Component Dataset: Jailbreaking evaluation, misinformation detection",Safety text evaluation
AIR-Bench 2024,AIR-Bench 2024 Dataset,2024,5000,https://huggingface.co/datasets/stanford-crfm/air-bench-2024,Core Dataset: Safety benchmark based on risk categories from regulations and policies,"5,694 diverse prompts, 4-tiered safety taxonomy with 314 granular risk categories"
COMPL-AI Framework,Tensor Trust,2024,N/A,https://huggingface.co/datasets/qxcv/tensor-trust/viewer,"Security Evaluation: Prompt injection, jailbreak",Testing cybersecurity resilience
COMPL-AI Framework,JBB-Behaviors,2023,N/A,https://huggingface.co/datasets/JailbreakBench/JBB-Behaviors,Security Evaluation: Jailbreak behavior evaluation,Systematic jailbreaking evaluation
COMPL-AI Framework,In-the-Wild Jailbreak Prompts,2022,15000,https://huggingface.co/datasets/TrustAIRLab/in-the-wild-jailbreak-prompts,"Security Evaluation: Real-world jailbreak scenarios, crime, harmful content",Testing against actual attack vectors
COMPL-AI Framework,Prompt Injections Benchmark,2024,2000,https://huggingface.co/datasets/qualifire/prompt-injections-benchmark,"Security Evaluation: Prompt injection attacks, jailbreaking",Security vulnerability assessment
COMPL-AI Framework,FairLLM,2024,N/A,https://huggingface.co/datasets/compl-ai/fairllm,Compliance Evaluation: EU AI Act compliance,Evaluation across 6 ethical principles
COMPL-AI Framework,FairLLM Sensitive Attributes,2024,18,https://huggingface.co/datasets/compl-ai/fairllm_sensitive_attributes,Compliance Evaluation: EU AI Act compliance,Evaluation across 6 ethical principles
MMLU,MMLU Ethics,2020,57,https://huggingface.co/datasets/hendrycks/ethics,Moral Reasoning: Harmful content evaluation,"57 tasks including ethics evaluation, testing moral reasoning capabilities"
MMLU,MMLU Computer Security,2023,N/A,https://huggingface.co/datasets/joey234/mmlu-computer_security-neg,Security Knowledge: Crime-related scenarios,"Computer security domain, cybersecurity knowledge assessment"
IFEval,SystemCheck,2024,N/A,https://huggingface.co/datasets/normster/SystemCheck,Security Evaluation: Prompt injection evaluation,Testing system-level security vulnerabilities
IFEval,Tulu-3 Do Anything Now Eval,2024,N/A,https://huggingface.co/datasets/allenai/tulu-3-do-anything-now-eval,Security Evaluation: Jailbreaking evaluation,"Testing ""Do Anything Now"" attack resistance"
Reefknot,LLM Red Teaming Prompts,2023,N/A,https://github.com/TUD-ARTS-2023/LLM-red-teaming-prompts,Adversarial Testing: Jailbreaking evaluation,Red teaming attack vectors
Reefknot,AART (Automated Adversarial Red Teaming),2024,N/A,https://huggingface.co/datasets/walledai/AART,Adversarial Testing: Harmful content generation and evaluation,Automated adversarial testing
MultiTrust,Adversarial Nibbler,2024,N/A,https://github.com/google-research-datasets/adversarial-nibbler,Adversarial Assessment: Image-based harmful content evaluation,Visual adversarial attack assessment
MultiTrust,ALERT,2023,N/A,https://huggingface.co/datasets/Babelscape/ALERT,Adversarial Assessment: Jailbreaking evaluation,Multimodal jailbreaking assessment
MultiTrust,Core MultiTrust Dataset,2024,32000,https://huggingface.co/datasets/thu-ml/MultiTrust,Core Dataset: Evaluating trustworthiness across 5 dimensions,"32 diverse tasks, 21 modern MLLMs evaluated"
LTLBench,Aya Red Teaming,2024,N/A,https://huggingface.co/datasets/CohereLabs/aya_redteaming,Multilingual Safety: Harmful content evaluation across multiple languages,Multilingual safety assessment
LTLBench,GPTFuzz,2024,N/A,https://github.com/sherdencooper/GPTFuzz,Adversarial Generation: Jailbreaking evaluation,Fuzzing-based attack generation
LTLBench,SAP (Systematic Attack Prompt Generation),2024,N/A,https://github.com/Aatrox103/SAP,Adversarial Generation: Attack prompt generation,Systematic adversarial prompt creation
LTLBench,Core LTLBench Dataset,2024,2000,https://huggingface.co/datasets/RutaTang/LTLBench,Core Dataset: Temporal logic reasoning evaluation,"2,000 temporal reasoning challenges"
Hallusion Bench,HallusionBench Dataset,2024,346,https://huggingface.co/datasets/lmms-lab/HallusionBench,Core Dataset: Evaluating visual illusion and language hallucination in Vision-Language Models,"346 images with 1,129 questions, 455 visual-question control pairs"
Real Toxicity Prompts,RealToxicityPrompts Dataset,2020,100,https://huggingface.co/datasets/allenai/real-toxicity-prompts,Toxicity Evaluation: Evaluating neural toxic degeneration in language models,"100,000 naturally occurring English sentence prompts with toxicity scores"
TruthfulQA,TruthfulQA QA Pairs,2021,817,https://huggingface.co/datasets/domenicrosati/TruthfulQA,Factuality Evaluation: Measuring factuality and hallucination in LLMs,817 free-form QA pairs across 38 categories
